ope_dic_identifiant;car_valeur_quantitatif;annee
102;145;2014
102;84;2014
102;99;2014
102;156;2014
102;109;2014
102;169;2014
102;97;2014
102;87;2014
102;133;2014
102;123;2014
102;123;2014
102;125;2014
102;146;2014
102;100;2014
102;167;2014
102;120;2014
102;98;2014
102;95;2014
102;112;2014
102;101;2014
102;92;2014
102;132;2014
102;102;2014
102;95;2014
102;115;2014
102;105;2014
102;122;2014
102;144;2014
102;106;2014
102;104;2014
102;94;2014
102;96;2014
102;153;2014
102;135;2014
102;111;2014
102;135;2014
102;96;2014
102;140;2014
102;130;2014
102;150;2014
102;110;2014
102;101;2014
102;90;2014
102;134;2014
102;103;2014
102;101;2014
102;95;2014
102;91;2014
102;97;2014
102;94;2014
102;109;2014
102;149;2014
102;143;2014
102;122;2014
102;117;2014
102;112;2014
102;84;2014
102;113;2014
102;119;2014
102;123;2014
102;101;2014
102;87;2014
102;87;2014
102;103;2014
102;92;2014
102;104;2014
102;87;2014
102;106;2014
102;145;2014
102;96;2014
102;107;2014
102;129;2014
102;105;2014
102;143;2014
102;109;2014
102;114;2014
102;110;2014
102;99;2014
102;92;2014
102;89;2014
102;135;2014
102;114;2014
102;93;2014
102;121;2014
102;102;2014
102;94;2014
102;91;2014
102;81;2014
102;121;2014
102;156;2014
102;94;2014
102;92;2014
102;134;2014
102;101;2014
102;171;2014
102;99;2014
102;121;2014
102;110;2014
102;125;2014
102;167;2014
102;118;2014
102;136;2014
102;111;2014
102;111;2014
102;156;2014
102;99;2014
102;153;2014
102;122;2014
102;115;2014
102;136;2014
102;106;2014
102;116;2014
102;193;2014
102;102;2014
102;103;2014
102;106;2014
102;104;2014
102;123;2014
102;134;2014
102;179;2014
102;92;2014
102;139;2014
102;99;2014
102;105;2014
102;130;2014
102;97;2014
102;111;2014
102;110;2014
102;128;2014
102;113;2014
102;95;2014
102;100;2014
102;101;2014
102;122;2014
102;106;2014
102;138;2014
102;97;2014
102;110;2014
102;81;2014
102;125;2014
102;149;2014
102;146;2014
102;109;2014
102;129;2014
102;139;2014
102;115;2014
102;137;2014
102;198;2014
102;132;2014
102;96;2014
102;165;2014
102;87;2014
102;93;2014
102;152;2014
102;90;2014
102;86;2014
102;103;2014
102;114;2014
102;88;2014
102;157;2014
102;131;2014
102;118;2014
102;116;2014
102;114;2014
102;145;2014
102;95;2014
102;113;2014
102;132;2014
102;102;2014
102;121;2014
102;152;2014
102;122;2014
102;88;2014
102;120;2014
102;107;2014
102;117;2014
102;108;2014
102;97;2014
102;133;2014
102;136;2014
102;114;2014
102;90;2014
102;128;2014
102;112;2014
102;100;2014
102;120;2014
102;91;2014
102;104;2014
102;124;2014
102;130;2014
102;122;2014
102;100;2014
102;120;2014
102;111;2014
102;82;2014
102;115;2014
102;90;2014
102;80;2014
102;88;2014
102;85;2014
102;94;2014
102;100;2014
102;124;2014
102;131;2014
102;118;2014
102;87;2014
102;90;2014
102;84;2014
102;87;2014
102;89;2014
102;113;2014
102;109;2014
102;104;2014
102;90;2014
102;106;2014
102;112;2014
102;113;2014
102;98;2014
102;152;2014
102;107;2014
102;79;2014
102;82;2014
102;100;2014
102;129;2014
102;83;2014
102;120;2014
102;171;2014
102;129;2014
102;86;2014
102;104;2014
102;101;2014
102;100;2014
102;90;2014
102;90;2014
102;118;2014
102;114;2014
102;84;2014
102;119;2014
102;106;2014
102;87;2014
102;91;2014
102;91;2014
102;102;2014
102;109;2014
102;94;2014
102;107;2014
102;100;2014
102;112;2014
102;100;2014
102;105;2014
102;84;2014
102;92;2014
102;96;2014
102;158;2014
102;97;2014
102;91;2014
102;120;2014
102;124;2014
102;134;2014
102;100;2014
102;114;2014
102;88;2014
102;105;2014
102;108;2014
102;89;2014
102;97;2014
102;95;2014
102;122;2014
102;110;2014
102;85;2014
102;114;2014
102;90;2014
102;93;2014
102;108;2014
102;98;2014
102;107;2014
102;147;2014
102;104;2014
102;93;2014
102;92;2014
102;88;2014
102;81;2014
102;82;2014
102;92;2014
102;87;2014
102;101;2014
102;100;2014
102;144;2014
102;189;2014
102;118;2014
102;110;2014
102;110;2014
102;155;2014
102;114;2014
102;111;2014
102;107;2014
102;100;2014
102;116;2014
102;108;2014
102;121;2014
102;131;2014
102;105;2014
102;87;2014
102;92;2014
102;86;2014
102;108;2014
102;158;2014
102;144;2014
102;82;2014
102;90;2014
102;87;2014
102;87;2014
102;114;2014
102;95;2014
102;95;2014
102;105;2014
102;81;2014
102;135;2014
102;113;2014
102;122;2014
102;124;2014
102;103;2014
102;102;2014
102;99;2014
102;85;2014
102;105;2014
102;97;2014
102;110;2014
102;107;2014
102;97;2014
102;138;2014
102;101;2014
102;94;2014
102;105;2014
102;113;2014
102;96;2014
102;94;2014
102;91;2014
102;95;2014
102;81;2014
102;99;2014
102;105;2014
102;87;2014
102;98;2014
102;109;2014
102;139;2014
102;93;2014
102;145;2014
102;97;2014
102;91;2014
102;159;2014
102;159;2014
102;103;2014
102;114;2014
102;100;2014
102;122;2014
102;90;2014
102;92;2014
102;96;2014
102;145;2014
102;143;2014
102;153;2014
102;114;2014
102;108;2014
102;96;2014
102;87;2014
102;89;2014
102;95;2014
102;103;2014
102;115;2014
102;150;2014
102;129;2014
102;105;2014
102;114;2014
102;97;2014
102;114;2014
102;85;2014
102;110;2014
102;117;2014
102;110;2014
102;100;2014
102;97;2014
102;78;2014
102;83;2014
102;157;2014
102;137;2014
102;134;2014
102;90;2014
102;83;2014
102;118;2014
102;93;2014
102;142;2014
102;85;2014
102;85;2014
102;84;2014
102;94;2014
102;98;2014
102;87;2014
102;89;2014
102;152;2014
102;90;2014
102;92;2014
102;94;2014
102;109;2014
102;92;2014
102;124;2014
102;96;2014
102;91;2014
102;84;2014
102;81;2014
102;113;2014
102;158;2014
102;105;2014
102;127;2014
102;98;2014
102;105;2014
102;86;2014
102;96;2014
102;94;2014
102;84;2014
102;110;2014
102;110;2014
102;92;2014
102;90;2014
102;115;2014
102;104;2014
102;83;2014
102;110;2014
102;90;2014
102;97;2014
102;90;2014
102;87;2014
102;85;2014
102;78;2014
102;97;2014
102;98;2014
102;78;2014
102;85;2014
102;86;2014
102;89;2014
102;90;2014
102;68;2014
102;72;2014
102;71;2014
102;95;2014
102;88;2014
102;78;2014
102;107;2014
102;169;2014
102;186;2014
102;129;2014
102;116;2014
102;124;2014
102;97;2014
102;140;2014
102;192;2014
102;98;2014
102;92;2014
102;146;2014
102;101;2014
102;115;2014
102;100;2014
102;92;2014
102;111;2014
102;87;2014
102;135;2014
102;116;2014
102;104;2014
102;96;2014
102;90;2014
102;88;2014
102;103;2014
102;114;2014
102;99;2014
102;94;2014
102;104;2014
102;113;2014
102;94;2014
102;82;2014
102;83;2014
102;92;2014
102;84;2014
102;132;2014
102;123;2014
102;87;2014
102;99;2014
102;97;2014
102;120;2014
102;106;2014
102;108;2014
102;96;2014
102;96;2014
102;83;2014
102;99;2014
102;119;2014
102;102;2014
102;139;2014
102;145;2014
102;87;2014
102;94;2014
102;100;2014
102;134;2014
102;99;2014
102;94;2014
